Corolla_Betankungen_reconstructed
B.R.Dutkiewicz (https://github.com/bartdutkiewicz/Tankstatistik)
Toyota Corolla Bj.1998 Benzin 920kg 81kw 6000U/min 195kmhmax 1587cm3 40L-Tank
UT164AEB103030101
Aufbereitete Daten
"Tag"	"Monat"	"Jahr"	"Stunde"	"Minute"	"Liter"	"Euro_Liter"	"Euro"	"km"	"km_gesamt"	"Datum"	"Tage"	"Liter_km"	"Euro_km"	"km_Tag"	"Liter_Tag"	"Euro_Tag"
26	10	2015	14	25	40.56	1.279	51.88	356	116947	2015-10-26	34	0.1138	0.1455	10.485	1.1929	1.5259
29	11	2015	11	16	35.61	1.319	46.97	425	117372	2015-11-29	26	0.0838	0.1105	16.346	1.3696	1.8065
25	12	2015	13	8	36.18	1.279	46.27	451	117823	2015-12-25	24	0.0802	0.1025	18.804	1.5075	1.9279
18	1	2016	23	33	41.05	1.299	53.32	303	118126	2016-01-18	40	0.1355	0.176	7.572	1.0262	1.333
27	2	2016	11	7	31.23	1.219	38.07	379	118504	2016-02-27	8	0.0825	0.1006	47.325	3.9038	4.7588
6	3	2016	21	0	29.65	1.159	34.36	462	118967	2016-03-06	27	0.0641	0.0743	17.126	1.0981	1.2726
2	4	2016	12	8	40.47	1.279	51.76	400	119367	2016-04-02	14	0.101	0.1292	28.607	2.8907	3.6971
16	4	2016	16	5	29.99	1.229	36.86	877	120244	2016-04-16	6	0.0342	0.042	146.2	4.9983	6.1433
22	4	2016	19	5	37.98	1.229	46.68	458	120702	2016-04-22	19	0.0829	0.1019	24.105	1.9989	2.4568
11	5	2016	11	6	36.97	1.269	46.91	216	120918	2016-05-11	14	0.1714	0.2175	15.407	2.6407	3.3507
25	5	2016	22	16	16.12	1.279	20.62	488	121406	2016-05-25	9	0.0331	0.0423	54.167	1.7911	2.2911
3	6	2016	15	28	39.21	1.329	52.11	448	121853	2016-06-03	21	0.0876	0.1164	21.319	1.8671	2.4814
24	6	2016	16	33	36.64	1.309	47.96	490	122344	2016-06-24	16	0.0747	0.0978	30.65	2.29	2.9975
10	7	2016	16	8	40.68	1.309	53.25	450	122794	2016-07-10	34	0.0904	0.1183	13.235	1.1965	1.5662
13	8	2016	23	58	33.74	1.329	44.84	519	123312	2016-08-13	19	0.0651	0.0865	27.295	1.7758	2.36
1	9	2016	16	30	39.49	1.269	49.72	539	123851	2016-09-01	13	0.0733	0.0922	41.465	3.0377	3.8246
14	9	2016	17	34	38.11	1.289	49.12	432	124284	2016-09-14	35	0.0882	0.1137	12.349	1.0889	1.4034
19	10	2016	17	28	38.91	1.309	50.93	522	124806	2016-10-19	20	0.0745	0.0975	26.12	1.9455	2.5465
8	11	2016	16	36	39.1	1.289	50.4	399	125205	2016-11-08	34	0.0981	0.1265	11.722	1.15	1.4824
12	12	2016	22	30	15	1.509	22.64	124	125329	2016-12-12	13	0.121	0.1826	9.538	1.1538	1.7415
25	12	2016	12	42	35.26	1.419	50.03	423	125751	2016-12-25	33	0.0834	0.1184	12.806	1.0685	1.5161
27	1	2017	17	46	38.04	1.339	50.56	440	126191	2017-01-27	55	0.0864	0.1149	8.002	0.6916	0.9193
23	3	2017	12	57	39.24	1.339	52.54	444	126635	2017-03-23	31	0.0885	0.1185	14.306	1.2658	1.6948
23	4	2017	15	50	18.13	1.379	25	216	126851	2017-04-23	25	0.0839	0.1157	8.64	0.7252	1
18	5	2017	20	35	38.53	1.319	50.82	466	127317	2017-05-18	37	0.0826	0.109	12.605	1.0414	1.3735
24	6	2017	17	5	39.13	1.279	50.05	436	127753	2017-06-24	31	0.0898	0.1148	14.06	1.2623	1.6145
25	7	2017	18	19	38.86	1.309	50.87	360	128113	2017-07-25	25	0.1079	0.1413	14.4	1.5544	2.0348
19	8	2017	19	19	30.72	1.279	39.29	400	128513	2017-08-19	20	0.0769	0.0983	19.975	1.536	1.9645
8	9	2017	15	18	31.67	1.379	43.67	501	129013	2017-09-08	15	0.0632	0.0872	33.393	2.1113	2.9113
23	9	2017	15	19	15.02	1.329	19.96	207	129221	2017-09-23	12	0.0724	0.0963	17.279	1.2517	1.6633
5	10	2017	19	32	39.74	1.289	51.22	387	129607	2017-10-05	65	0.1028	0.1325	5.948	0.6114	0.788
9	12	2017	12	30	38.83	1.299	50.44	469	130077	2017-12-09	33	0.0828	0.1075	14.217	1.1767	1.5285
11	1	2018	20	4	37.18	1.149	51.11	383	130460	2018-01-11	56	0.0971	0.1334	6.839	0.6639	0.9127
8	3	2018	21	30	39.45	1.159	49.67	511	130971	2018-03-08	36	0.0772	0.0972	14.197	1.0958	1.3797
13	4	2018	17	2	37.18	1.339	49.78	559	131530	2018-04-13	16	0.0665	0.0891	34.938	2.3238	3.1112
29	4	2018	13	36	17.02	1.469	25	203	131733	2018-04-29	9	0.0838	0.1231	22.566	1.8911	2.7778
8	5	2018	21	11	37.53	1.379	51.75	407	132139	2018-05-08	32	0.0923	0.1273	12.706	1.1728	1.6172
9	6	2018	13	5	30.9	1.519	46.94	67	132206	2018-06-09	7	0.4636	0.7043	9.521	4.4143	6.7057
16	6	2018	18	39	25.18	1.479	37.24	171	132377	2018-06-16	18	0.1469	0.2173	9.521	1.3989	2.0689
4	7	2018	23	13	15	1.439	21.59	114	132492	2018-07-04	12	0.1313	0.189	9.521	1.25	1.7992
16	7	2018	21	59	15	1.469	22.04	114	132606	2018-07-16	12	0.1313	0.1929	9.521	1.25	1.8367
28	7	2018	18	0	26.54	1.459	38.72	181	132787	2018-07-28	19	0.1467	0.214	9.521	1.3968	2.0379
16	8	2018	20	41	28.49	1.439	41	362	133149	2018-08-16	38	0.0787	0.1133	9.521	0.7497	1.0789
23	9	2018	15	35	25.36	1.509	38.27	219	133368	2018-09-23	23	0.1158	0.1748	9.521	1.1026	1.6639
16	10	2018	20	19	15.23	1.499	22.83	105	133472	2018-10-16	11	0.1454	0.218	9.521	1.3845	2.0755
27	10	2018	15	32	10	1.589	15.89	533	134006	2018-10-27	56	0.0188	0.0298	9.521	0.1786	0.2838
22	12	2018	17	20	35	1.439	50.37	432	134437	2018-12-22	41	0.0811	0.1167	10.528	0.8537	1.2285
1	2	2019	20	31	37.67	1.269	47.8	361	134798	2019-02-01	72	0.1045	0.1325	5.009	0.5232	0.6639
14	4	2019	15	12	34.86	1.479	51.56	358	135156	2019-04-14	20	0.0973	0.1439	17.918	1.743	2.578
4	5	2019	20	57	28.73	1.499	43.07	434	135590	2019-05-04	16	0.0662	0.0993	27.114	1.7956	2.6919
20	5	2019	12	23	32.79	1.529	50.14	390	135980	2019-05-20	86	0.0842	0.1287	4.531	0.3813	0.583
14	8	2019	21	1	37.71	1.399	52.76	437	136417	2019-08-14	24	0.0863	0.1207	18.215	1.5713	2.1983
7	9	2019	16	54	36.95	1.429	52.8	438	136854	2019-09-07	35	0.0844	0.1207	12.503	1.0557	1.5086
12	10	2019	12	53	36.87	1.409	51.95	370	137225	2019-10-12	41	0.0995	0.1403	9.034	0.8993	1.2671
22	11	2019	15	16	37.64	1.369	51.53	402	137627	2019-11-22	41	0.0936	0.1282	9.807	0.918	1.2568
2	1	2020	20	48	37.51	1.439	53.98	285	137912	2020-01-02	36	0.1316	0.1893	7.919	1.0419	1.4994
7	2	2020	14	37	30.73	1.399	42.99	386	138298	2020-02-07	51	0.0796	0.1113	7.572	0.6025	0.8429
29	3	2020	17	8	35.01	1.229	43.03	461	138759	2020-03-29	62	0.0759	0.0933	7.439	0.5647	0.694
30	5	2020	12	6	36.83	1.139	41.95	461	139221	2020-05-30	24	0.0798	0.0909	19.225	1.5346	1.7479
23	6	2020	8	35	36.27	1.329	48.2	407	139628	2020-06-23	48	0.0892	0.1185	8.475	0.7556	1.0042
10	8	2020	21	2	38.16	1.259	47.66	456	140084	2020-08-10	81	0.0836	0.1044	5.633	0.4711	0.5884
30	10	2020	16	41	40.17	1.299	51.78	449	140533	2020-10-30	62	0.0895	0.1153	7.242	0.6479	0.8352
31	12	2020	10	57	42.02	1.359	57.11	469	141002	2020-12-31	93	0.0896	0.1218	5.043	0.4518	0.6141
3	4	2021	14	35	37.79	1.529	57.78	491	141493	2021-04-03	96	0.077	0.1177	5.114	0.3936	0.6019
8	7	2021	15	26	40.52	1.649	66.82	415	141908	2021-07-08	57	0.0977	0.1612	7.274	0.7109	1.1723
3	9	2021	11	27	32.1	1.599	51.33	566	142474	2021-09-03	17	0.0567	0.0907	33.294	1.8882	3.0194
20	9	2021	21	38	39.16	1.609	63.01	502	142976	2021-09-20	53	0.078	0.1254	9.478	0.7389	1.1889
12	11	2021	22	24	38.5	1.699	65.41	490	143466	2021-11-12	98	0.0785	0.1334	5.004	0.3929	0.6674
18	2	2022	12	5	39.28	1.769	69.1	503	143968	2022-02-18	75	0.0782	0.1375	6.701	0.5237	0.9213
4	5	2022	19	2	39.33	1.989	77.84	504	144472	2022-05-04	67	0.0781	0.1546	7.517	0.587	1.1618
10	7	2022	14	54	39.19	1.829	71.68	530	145002	2022-07-10	124	0.074	0.1353	4.274	0.316	0.5781
11	11	2022	19	51	39.22	1.879	73.69	457	145459	2022-11-11	92	0.0859	0.1613	4.965	0.4263	0.801
11	2	2023	18	9	38.79	1.749	67.84	467	145926	2023-02-11	86	0.0831	0.1453	5.429	0.451	0.7888
8	5	2023	16	16	38.64	1.829	70.67	513	146439	2023-05-08	67	0.0753	0.1378	7.657	0.5767	1.0548
14	7	2023	12	30	40.8	1.919	78.3	498	146937	2023-07-14	55	0.0819	0.1571	9.06	0.7418	1.4236
7	9	2023	14	41	38.17	1.979	75.54	515	147452	2023-09-07	36	0.0741	0.1467	14.299	1.0603	2.0983
13	10	2023	15	45	39.28	1.889	74.2	442	147894	2023-10-13	65	0.0888	0.1678	6.805	0.6043	1.1415
17	12	2023	21	12	38.89	1.699	66.07	469	148363	2023-12-17	77	0.0829	0.1409	6.091	0.5051	0.8581
3	3	2024	16	34	40.02	1.879	75.2	468	148831	2024-03-03	106	0.0856	0.1608	4.411	0.3775	0.7094
17	6	2024	20	2	38.74	1.799	69.69	525	149356	2024-06-17	33	0.0738	0.1327	15.912	1.1739	2.1118
20	7	2024	9	47	41.11	1.899	78.07	555	149910	2024-07-20	38	0.0741	0.1408	14.593	1.0818	2.0545
27	8	2024	17	9	39.01	1.719	67.06	456	150366	2024-08-27	97	0.0855	0.1471	4.701	0.4022	0.6913
2	12	2024	10	13	37.77	1.719	64.93	474	150840	2024-12-02	29	0.0796	0.1369	16.352	1.3024	2.239
31	12	2024	18	53	41.32	1.749	72.27	495	151336	2024-12-31	13	0.0834	0.1459	38.108	3.1785	5.5592
13	1	2025	7	15	38.42	1.839	70.65	NA	NA	2025-01-13	NA	NA	NA	NA	NA	NA
